OrdenCorrida;Modelo;Experto;iso37;iso36;iso35;iso34;iso33;iso32;iso31;iso41;iso42;iso43;iso44;iso45;iso46;iso47;ancho intercanino (3-3);anchura interpremolar (4-4);anchura interpremolar (5-5);ancho intermolar;voto_mayoritario;experto
49;59;Experto 1;10,67;10,87;7,68;8,41;7,28;6,04;5,82;5,78;5,98;7;7,7;7,51;10,59;9,15;29;31,77;37,89;40,05;2;Ovalado
50;60;Experto 1;10,29;10,62;6,87;6,93;6,9;5,77;5,18;5,35;6,22;7,18;7,04;7,05;10,74;9,85;26,54;30,83;36,09;38,53;2;Cuadrado
51;1;Experto 1;9,67;8,8;7,06;6,7;6,75;5,35;5,08;5,08;5,46;6,4;6,55;6,78;8,95;9,03;26,4;31,84;36,15;38,66;1;Cuadrado
52;4;Experto 1;9,87;10,18;6,73;7,09;7,47;6,49;5,3;5,58;6,48;7,32;7,33;7,5;10,69;9,49;29,76;29,84;32,93;37,99;2;Ovalado
53;5;Experto 1;9,89;10,66;7,37;7,37;7,2;6,28;5,61;5,58;6,33;7,17;7,35;6,66;9,91;9,58;29,38;28,75;35,07;35,4;2;Ovalado
54;6;Experto 1;9,79;10,46;7,32;7,75;7,46;6,75;5,46;5,85;6,28;7,05;7,49;6,12;10,53;9,9;29,46;31,12;36,46;38,26;2;Ovalado
55;7;Experto 1;10,28;10,19;5,63;5,97;6,25;5,21;5,85;5,02;5,01;5,84;5,75;5,99;9,55;9,46;27,22;30,24;31,96;35,02;2;Cuadrado
56;8;Experto 1;8,85;10,45;6,02;7,46;7,02;6,99;5,35;5,02;6,01;6,02;6,85;6,32;10,79;8,01;28,93;29,78;32,24;34,26;2;Ovalado
57;9;Experto 1;10,45;10;7,65;6,25;6,02;5,25;5,02;5,63;6,41;6,45;6,96;6,21;9,02;8,33;26,24;25,01;30,02;33,85;2;Ovalado
58;10;Experto 1;9,82;10,35;6,93;7,82;6,4;5,49;5,01;5,96;6;6,25;6,33;6,12;11;9,35;28,85;31,37;35,25;40,24;2;Ovalado
59;12;Experto 1;10,21;9,33;7,01;6,64;6,32;6,01;5,55;5,68;5,97;6,25;6,64;6,22;9,25;9,75;29,21;30,33;30,46;35,55;1;Cuadrado
60;13;Experto 1;9,33;10,02;6,54;7,7;6,56;6,96;5,52;5,33;5,85;6,25;7,33;7,65;10,36;9,37;28,01;28,65;33;36;2;Ovalado
61;14;Experto 1;9,12;10,63;6,93;7,82;7,97;6,32;5,32;5,46;6,32;6,01;7,67;6,79;10,35;9,21;27,77;32,25;32,27;36,34;2;Ovalado
62;15;Experto 1;10,52;11;8,45;7,34;6,5;5,9;5,3;5,02;5,02;6,33;7;7,75;10,55;10,34;28,24;26,97;27,33;31,25;2;Cuadrado
